번호	종목	문제	정답
72	2	다음 중 컴퓨터에서 사용하는 압축 프로그램에 관한 설명으로 옳지 않은 것은?	1
73	2	다음 중 Windows에서 바탕 화면의 바로 가기 메뉴에 관한 설명으로 옳지 않은 것은?	3
74	2	다음 중 피벗 테이블에 대한 설명으로 옳지 않은 것은?	1
75	2	다음 중 데이터가 입력되어 있는 연속된 셀 범위를 선택하는 방법으로 옳지 않은 것은?	4
76	2	다음 중 [외부 데이터 가져오기] 기능에 대한 설명으로 옳지 않은 것은?	1
77	2	다음 중 [찾기 및 바꾸기] 대화상자에 대한 설명으로 옳지 않은 것은?	1
78	2	다음 중 엑셀에서 날짜 데이터의 입력 방법에 대한 설명으로 옳지 않은 것은?	4
79	2	다음 중 매크로 편집 및 삭제에 대한 설명으로 옳지 않은 것은?	2
80	2	다음 중 통합 문서에 대한 설명으로 옳지 않은 것은?	4
81	2	다음 중 셀에 수식을 입력하는 방법에 대한 설명으로 옳지 않은 것은?	4
82	2	다음 중 엑셀의 상태 표시줄에 대한 설명으로 옳지 않은 것은? 	4
83	2	다음 중 차트의 편집에 대한 설명으로 옳지 않은 것은?	4
84	2	다음 중 엑셀의 인쇄 기능에 대한 설명으로 옳지 않은 것은?	4
85	2	다음 중 관계형 데이터베이스 모델에 대한 설명으로 옳지 않은 것은?	2
86	2	다음 중 입력 마스크 설정에 사용하는 사용자 정의 입력 마스크 기호에 대한 설명으로 옳은 것은? 	4
87	2	다음 중 데이터를 입력 또는 삭제 시 이상(anomaly) 현상이 일어나지 않도록 데이터베이스를 설계하기 위한 기술을 의미하는 용어는?	2
88	2	다음 중 [관계 편집] 대화 상자에 대한 설명으로 옳지 않은 것은?	4
89	2	다음 중 테이블의 필드 속성 설정 시 사용하는 인덱스에 관한 설명으로 옳지 않은 것은?	4
90	2	다음 중 테이블의 [디자인 보기]에서 설정 가능한 작업에 해당하지 않는 것은?	1
91	2	다음 중 보고서에서 '텍스트 상자' 컨트롤의 속성 설정에 대한 설명으로 옳지 않은 것은? 	2
92	2	다음 중 보고서에서 [페이지 번호] 대화 상자를 이용한 페이지 번호 설정에 대한 설명으로 옳지 않은 것은?	2
93	2	다음 중 서류봉투에 초대장을 넣어 발송하려는 경우 우편물에 사용할 수신자의 주소를 프린트하기에 가장 적합한 보고서는?	3
94	2	다음 중 폼 작성에 대한 설명으로 옳지 않은 것은?	3
95	2	다음 중 폼의 모달 속성에 관한 설명으로 옳지 않은 것은?	1
96	2	다음 중 보고서에 대한 설명으로 옳지 않은 것은?	4
97	2	다음 중 분할 표시 폼에 대한 설명으로 옳지 않은 것은?	3
98	2	다음 중 매크로 함수에 대한 설명으로 옳지 않은 것은?	1
99	2	다음 중 하위 폼에 대한 설명으로 옳지 않은 것은?	4
100	3	다음 중 JPEG 표준에 대한 설명으로 옳지 않은 것은?	4
101	3	다음 중 컴퓨터 바이러스의 예방법으로 가장 거리가 먼 것은?	3
102	3	다음 중 네트워크 장비와 관련하여 라우터에 관한 설명으로 옳은 것은?	2
103	3	다음 중 인터넷을 수동으로 연결하기 위하여 지정해야 할 TCP/IP 구성요소로 옳지 않은 것은?	3
104	3	다음 중 Windows에서 사용하는 바로 가기 키에 관한설명으로 옳지 않은 것은?	3
105	3	다음 중 라디오와 같이 한쪽은 송신만, 다른 한쪽은 수신만 가능한 정보 전송 방식은?	1
106	3	다음 중 Windows Update가 속한 사용권에 따른 소프트웨어 분류 유형으로 가장 적절한 것은?	1
107	3	다음 중 차세대 웹 표준으로 텍스트와 하이퍼링크를 이용한 문서 작성 중심으로 구성된 기존 표준에 비디오, 오디오 등의 다양한 부가기능을 추가하여 최신 멀티미디어 콘텐츠를 ActiveX 없이도 웹 서비스로 제공할 수있는 언어는?	3
108	3	다음 중 파일이나 폴더를 복사하거나 이동하는 방법으로 옳지 않은 것은?	4
109	3	다음 중 Windows의 에어로 피크(Aero Peek) 기능에 대한 설명으로 옳은 것은?	2
110	3	다음 중 정보 보안을 위협하는 유형에서 가로채기에 해당하는 것은?	2
111	3	다음 중 Windows [제어판]의 [접근성 센터]에서 설정할 수 없는 기능은?	1
112	3	다음 중 삭제된 파일이 [휴지통]에 임시 보관되어 복원이 가능한 경우는?	1
113	3	다음 중 영상신호와 음향신호를 압축하지 않고 통합하여 전송하는 고선명 멀티미디어 인터페이스로 S-비디오, 컴포지트 등의 아날로그 케이블보다 고품질의 음향 및 영상을 감상할 수 있는 것은?	2
114	3	다음 중 컴퓨터에서 사용하는 캐시 메모리에 관한 설명으로 옳은 것은?	4
115	3	다음 중 컴퓨터에서 사용하는 레이저 프린터에 관한 설명으로 옳지 않은 것은?	3
116	3	다음 중 소형화, 경량화를 비롯해 음성과 동작인식 등 다양한 기술이 적용되어 장소에 구애받지 않고 컴퓨터를 활용할 수 있도록 몸에 착용하는 컴퓨터를 의미하는 것은?	1
117	3	다음 중 인터넷에서 웹 서버와 사용자의 인터넷 브라우저 사이에 하이퍼텍스트 문서를 전송하기 위해 사용되는 통신 규약은? 	2
118	3	다음 중 [시트 보호] 기능에 대한 설명으로 옳지 않은 것은?	2
119	3	다음 중 새 워크시트에서 보기의 내용을 그대로 입력 하였을 때, 입력한 내용이 텍스트로 인식되지 않는 것은?	2
120	3	다음 중 [페이지 설정] 대화상자의 [시트] 탭에 대한 설명으로 옳은 것은?	2
121	3	다음 중 막대형 차트에서 각 데이터 계열을 그림으로 표시하는 방법으로 옳지 않은 것은?	2
122	3	다음 중 매크로의 바로 가기 키에 대한 설명으로 옳지 않은 것은?	4
123	3	다음 중 '페이지 나누기'에 대한 설명으로 옳지 않은 것은?	2
124	4	다음 비서의 자질과 태도에 관한 설명 중 가장 적합하지 않은 것은?	2
125	4	아래는 전문 분야에서 일하고 있는 비서들의 경력개발 사례이다. 가장 적절한 것은?	4
126	4	다음 중 전화응대 대화 내용으로 가장 적절한 것은?	3
127	4	다음 중 회의 용어를 올바르게 사용하지 못한 것은?	2
128	4	상공기획(주) 이영준 대표이사는 중요한 업무 파트너인 서준희 회장님과 중식당에서 오찬을 마친 후 회사 회의실에서 1시간 정도 실무진 임원과 함께 미팅 예정이다. 김미소 비서가 내방객을 맞이하기 위한 준비 업무로 가장 적절치 않은 것은?	4
129	4	사무실에 자주 내방하시던 상사의 오랜 지인이 어느 날 강 비서에게 늘 도와줘서 감사하다며 함께 점심 식사를 하자고 하신다. 이에 대처하는 강 비서의 태도로 가장 바람직한 것을 고르시오.	1
130	4	다음 중 상사의 교통편을 예약할 시, 가장 적절한 업무 태도는?	4
131	4	상사가 출장 출발 전에 비서가 확인해야 할 사항으로 가장 적절하지 않은 것은?	4
132	4	회사 50주년을 축하하는 기념식 행사를 준비하는 비서가 행사장의 좌석배치 계획을 수립할 때 다음 중 가장 부적절한 것은?	3
133	4	다음 중 한자어가 잘못 기입된 것은?	4
134	4	초청장에 명시된 복장규정의 설명이 맞지 않는 것은?	4
135	4	다음 중 보고 업무를 수행하고 있는 비서의 자세로 가장 적절하지 않은 것은?	3
136	4	국회의원 비서로 일하고 있는 비서 A씨는 상사 의정 활동 홍보업무를 하고 있다. 다음 중 가장 적절한 것은?	1
137	4	김비서의 업무용 프린터가 갑자기 고장 났다. 업무 지연을 방지하기 위하여 서둘러 구매하려고 한다. 다음 중 바르지 않은 것은?	4
138	4	외국에서 중요한 손님이 우리 회사를 방문할 때 비서의 의전관련 업무 수행 시 적절하지 않은 것은?	1
139	4	기업의 다양한 이해관계자에 대한 설명으로 가장 옳은 것은?	2
140	4	다음 중 기업의 공유가치창출(CSV) 활동의 사례로 보기에 가장 적절한 것은?	4
141	4	다음 중 협동조합에 관한 설명으로 가장 적절한 것은?	1
142	4	협상을 통해 두 기업이 하나로 합치는 인수 합병(M&A)은 '실사 – 협상 – 계약 – 합병후 통합' 과정을 거치는 데, 각 단계에 대한 설명으로 가장 옳은 것은?	1
143	4	다음 중 기업의 외부환경분석 중 포터(M. Porter)의 산업구조 분석모형에서 다섯 가지 세력(5-Forces)에 해당하지 않는 것은?	4
144	4	대기업과 비교할 때 중소기업의 특징에 대한 다음 설명 중 가장 옳지 않은 것은?	3
145	4	경영 조직화의 설명 중 가장 거리가 먼 것은?	1
146	4	다음 중 조직구조의 유형에 관한 설명으로 가장 적합하지 않은 것은?	3
147	4	민쯔버그가 제시한 경영자의 역할 중에서 종업원을 동기부여하는 역할로서 가장 적절한 것은?	2
148	4	다음 중 리더십이론에 대한 설명으로 가장 적절하지 않은 것은?	1
149	4	다음 중 유한회사의 설명으로 가장 거리가 먼 것은?	2
150	4	경영의사결정이 어려운 이유를 설명한 것 중 가장 거리가 먼 것은?	3
151	4	BSC(Balanced Score Card) 인사평가에서 균형이란 성과평가에서 재무적·비재무적 성과를 모두 균형있게 고려한다는 것이다. 재무적 성과와 비재무적 성과를 고려하는 BSC 평가관점이 아닌 것은?	3
152	4	다음 중 기업에서 활용되는 다양한 마케팅 활동에 대한 설명으로 가장 적합하지 않은 것은?	2
153	4	은행이 고객으로부터 받은 예금 중에서 중앙은행에 의무적으로 적립해야 하는 비율을 일컫는 용어는?	3
154	4	Which pair is NOT proper?	3
155	4	Choose the one which does NOT correctly explain the abbreviations.	1
156	4	Choose the sentence which does NOT have a grammatical error.	4
157	4	What is LEAST proper as a phrase for ending the conference?	2
158	4	다음은 공문서 작성 시 항목(1., 2., 3., 4., …)을 구분하여 작성하는 방법이다. 항목 작성 시 표시위치와 띄어쓰기에 관한 설명이 가장 적절하지 않은 것은?	3
159	4	다음 중 문서의 종류에 대한 설명이 가장 적절하지 못한 것은?	1
160	4	다음 중 문장부호의 사용이 가장 올바르지 않은 것은?	1
161	4	다음 전자문서에 대한 설명으로 가장 올바르지 않은 것은?	1
162	4	공공기관의 전자문서에 대한 설명이 가장 적절하지 않은 것은?	3
163	4	프레젠테이션을 위한 올바른 슬라이드 작성 방법으로 가장 적절하지 않은 것은?	2
164	4	다음 비서의 정보 수집 방법이 가장 적절하지 않은 것은?	3
165	4	사물인터넷에 대한 설명으로 잘못된 것은?	4
166	4	다음은 USB 인터페이스에 대한 설명이다. 가장 적절하지 못한 것은?	3
167	4	아래의 애플리케이션 중 그 성격이 다른 한 가지는?	3
168	5	다음 중 비서 업무에 대한 설명으로 가장 적절한 것은?	3
169	5	다음은 현직 비서들의 자기개발 사례이다. 다음 중 가장 바람직하지 않은 것은?	3
170	5	상사가 열흘간의 출장 후 복귀한 경우, 비서의 전화 관련 업무태도로 가장 부적절한 것은?	3
171	5	다음 중 비서의 직장 내 인간관계에 대한 설명으로 가장 적절하지 않은 것은?	1
172	5	다음 중 비서의 내방객 안내 자세로 가장 적절한 것은?	4
173	5	다음 중 의전의 원칙 5R을 설명한 것으로 옳지 않은 것은?	4
174	5	강비서는 컴퓨터 일정관리 소프트웨어와 스마트폰의 일정 관리 어플리케이션을 연동하여 상사의 일정을 관리하고 있다. 이에 대한 설명으로 옳지 않은 것은?	3
175	5	골프장 예약 업무 중 중요도가 가장 낮은 것은?	3
176	5	상사의 출장일정표 작성 업무에 관하여 가장 올바르게 설명한 것은?	3
177	5	다음 중 가장 올바른 화법은?	3
178	5	상사 해외 출장 시 선물을 준비할 때 고려해야 할 사항으로 잘못된 것은?	4
179	5	다음 중 올바른 한자로 짝지어진 것은?	2
180	5	다음 중 보고 업무 자세로 가장 적절하지 않은 것은?	3
181	5	비서의 상사 이력서 관리 원칙으로 가장 적절하지 않은 것은?	3
182	5	비서의 경비처리업무에 대한 설명으로 가장 적절하지 않은 것은?	3
183	5	주식회사의 장점에 대한 설명으로 가장 거리가 먼 것은?	3
184	5	다음은 기업의 외부환경 상황을 기술한 것이다. 이 중 기업간 경쟁구도분석에서 치열한 경쟁강도를 나타내는 경우로 가장 거리가 먼 것은?	2
185	5	다음 중 기업형태에 대한 설명으로 가장 옳은 것은?	1
186	5	  다음은 대기업에 비해 상대적으로 중소기업이 겪는 어려움을 기술한 것이다. 이 중, 중소기업만의 어려움으로 보기에 가장 적합하지 않은 것은? 	4
187	5	다음 중 경영관리 과정을 순서대로 알맞게 배열한 것은?	2
188	5	다음 중 기업의 사회적 책임에 대한 설명으로 가장 거리가 먼 것은?	2
189	5	다음 중 조직형태에 대한 설명으로 가장 적합하지 않은 것은?	4
190	5	다음 중 매슬로우(Maslow)의 욕구단계이론을 저차원에서 고차원의 단계별로 나열한 것으로 가장 적합한 것은?	4
191	5	다음은 리더십의 개념과 리더십 스타일에 대한 설명을 나열한 것이다. 이 중 가장 옳지 않은 설명은?	4
192	5	다음 중 인사관리에서 지켜야 할 주요 원칙으로 가장 거리가 먼 것은?	1
193	5	가격관리 전략 중 기준가격의 설정내용으로 가장 거리가 먼 것은?	4
194	5	다음 중 복리후생에 관련 설명으로 가장 옳은 것은?	2
195	5	스테가노그래피(steganography)는 어떤 것을 일컫는 말인가?	3
196	5	다음 중 유동자산에 해당하는 계정과목은 무엇인가?	3
197	5	다음 중 우리나라의 금융기관의 성격을 설명한 내용으로 가장 적절하지 않은 것은?	3
198	5	Choose the one which has the MOST UNGRAMMATICAL part.	4
199	5	What is LEAST proper as a phrase for conducting a meeting?	2
200	5	Which of the following should you NOT do when transferring a call?	3
201	5	다음 중 문서철의 쪽 번호 표시가 가장 적절하지 않은 것은?	3
202	5	상공무역의 최주혁 비서는 회사의 사옥준공식 안내장을 작성했다. 안내장마다 수신인에 따라 본문 내용 중 수신인, 직위, 부서명, 회사명을 다르게 하여 보내는 방법은?	2
203	5	박진우 비서는 다음 달에 있을 창립 기념 파티에 초대장 초안을 작성하려고 한다. 마인드맵을 이용해 내용 구상을 하는 박진우 비서의 방법이 가장 적절하지 못한 것은?	4
204	5	다음 중 문서관리의 목적으로 그 연관성이 가장 낮은 것은?	1
205	5	다음과 같이 감사편지를 작성하는 업무를 하고 있다. 이 중 가장 적절하지 않은 경우는?	3
206	5	다음 중 종류가 동일한 앱끼리 묶이지 않은 것은?	2
207	5	다음 중 사무정보기기의 사용법이 가장 적절하지 않은 비서는?	2
208	5	다음 중 전자문서 보관과 보존에 대한 설명이 가장 적절하지 못한 것은?	4
209	5	다음 중 행정기관의 공문서의 접수에 관한 내용이 가장 적절하지 않은 것은?	1
210	5	프레젠테이션을 작성할 때 고려해야할 사항과 가장 거리가 먼 것은?	4
211	5	회사 홈페이지나 블로그 등을 비롯한 소셜미디어를 관리하는 김 비서가 주의를 기울여야 할 태도로 가장 적절하지 않은 것은?	2
212	5	다음 중 컴퓨터 바이러스를 예방하기 위한 비서의 행동으로 가장 적절하지 않은 것은?	2
213	5	다음과 같이 보고서에 들어갈 그래프를 작성하고 있다. 전달하려고 하는 내용을 표현할 수 있는 그래프를 가장 적절하게 활용하고 있는 경우는?	2
214	5	다음 중 문서작성을 위한 정보 수집에 대한 설명이 가장 적절하지 못한 것은?	4
215	6	비서는 상사가 효과적으로 인적 네트워크를 관리할 수 있도록 보좌하여야 한다. 다음 중 가장 적절하지 않은 것은?	2
216	6	다음 비서의 전화응대 중 가장 바람직한 것은?	3
217	6	다음 비서의 전화응대 태도로 가장 바람직한 것은?	4
218	6	다음 중 비서가 내방객을 응대할 때 가장 올바른 것은?	4
219	6	다음 중 업무상 갈등을 해결하기 위한 행동으로 가장 바람직한 것은?	2
220	6	다음의 사례에서 비서의 업무 태도로 가장 적절한 것은?	4
221	6	다음 중 비서의 조직 구성원과의 원만한 인간관계를 위한 노력으로 가장 올바른 자세는?	4
222	6	비서가 스마트폰으로 상사의 일정관리 시 가장 적절하지 않은 것은?	2
223	6	다음과 같은 상황에서 비서의 행동으로 가장 적절한 것은?	4
224	6	상사의 일정을 관리하는 비서의 업무 수행 방법으로 가장 적절하지 않은 것은?	3
225	6	예약 시 주의사항으로 적절하지 않은 것은?	1
226	6	상사 출장 전 준비업무에 해당하지 않는 것은?	4
227	6	비서가 회의 지원업무를 할 때 다음 설명 중 가장 올바르지 않은 것은?	2
228	6	회의 일시 선정 시 고려할 요소로 가장 부적절한 것을 고르시오.	4
229	6	구두 보고 시 유의사항으로 가장 부적절한 것은?	2
230	6	다음 중 경조사 관련 한자가 잘못 짝지어진 것은?	2
231	6	다음 중 지시를 받는 비서의 태도로 가장 적절한 것은?	4
232	6	지방에서 결혼하는 거래처 지인의 혼사에 직접 참여하지 못하는 경우 상사의 이름으로 축의금을 전달할 수 있는 가장 적절한 방법은?	3
233	6	다음 중 비서직에 대한 설명으로 가장 적절하지 않은 것은?	4
234	6	다음 중 영어 약어와 내용 연결이 잘못된 것은?	4
235	6	다음 중 영어와 그 뜻이 옳게 짝지어지지 않은 것은?	3
236	6	다음 문장 중 문법이 바르지 않은 것은?	2
237	6	다음 문장 중 문법적인 오류가 없는 것은?	4
238	6	다음 우편 취급 방식에 대한 설명으로 바르지 않은 것은?	4
239	6	다음 중 봉투의 구성요소로 적절하지 않은 것은?	3
240	6	다음 중 영문서신 작성 시 구성요소의 표현으로 올바르지 않은 것은?	2
241	6	문서의 결재에 대한 설명으로 잘못된 것은?	2
242	6	다음은 비서가 업무에 필요한 인터넷 웹사이트를 즐겨찾기 폴더에 분류한 것이다. 분류에 포함될 웹사이트에서 제공하는 정보의 종류가 가장 적절하지 않은 것은?	3
243	6	다음 중 한글 띄어쓰기에 대한 설명과 예가 가장 올바르지 않은 것은?	4
244	6	육하원칙에 따른 문서의 구성요소가 바르게 연결된 것은?	3
245	6	다음 중 행정업무의 효율적 운영에 관한 규정에 의거한 공문서의 종류에 해당하지 않는 것은?	3
246	6	데이터 보관을 위한 저장매체에 대한 설명으로 가장 부적절한 것은?	3
247	6	다음 중 비서의 수신 문서에 대한 업무처리가 가장 올바르지 않은 것은?	1
248	6	다음 중 업무 관련 정보 수집을 위해 신문을 이용하는 비서의 행동에 대한 설명으로 가장 적절하지 못한 것은?	2
249	6	다음 중 사무정보화에 대한 설명이 가장 적절하지 않은 것은?	2
250	6	상사가 스마트폰의 화면을 텔레비전이나 모니터에 무선으로 연결하여 큰 화면으로 보기를 희망한다. 이때 사용할 수 있는 장치로 가장 적당한 것은?	1
251	6	다음 중 실행파일에 해당하는 확장자가 아닌 것은?	4
252	6	최근 많이 활용되는 바이오인식(생체인식기술)에 대한 설명으로 잘못된 것은?	4
253	6	다음 중 네트워크에 대한 설명이 가장 적절하지 않은 것은?	4
254	6	다음 중 정보보안관리 업무가 가장 적절하지 않은 비서는?	3
255	6	다음 중 MS-Windows OS가 설치된 컴퓨터에서 IP주소를 찾을 때 사용하는 명령어는?	4
256	6	다음 중 사무정보기기의 사용법이 가장 적절하지 못한 것은?	4
257	6	다음 중 문서의 발신 대장에 포함되는 내용으로 가장 적절하지 않은 것은?	4
